,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,changePercentage
87,Nike SB Dunk Low Pro ISO Orange Label Wolf Grey Gum,Nike,110,2023-02-24,140,623,105,191,768,330,110,0.085391,2995,0.764,184,194,0.096045
88,Jordan 2 Retro OG Chicago (2022),Jordan,200,2022-12-30,136,1009,104,225,415,650,110,0.099516,8500,0.1,235,220,0.13895
89,Jordan 1 Mid SE Space Jam (GS),Jordan,120,2023-01-23,119,239,102,120,121,238,95,0.076064,1959,0.255,131,151,-0.009861
90,Jordan 1 Retro High OG Taxi,Jordan,170,2022-09-24,150,2385,101,192,765,638,0,0.054755,25764,0.195,209,204,-0.030769
91,Nike Dunk High Blue Chill,Nike,125,2022-11-23,107,682,101,123,197,224,86,0.107724,4746,0.139,132,143,0.186508
92,adidas Yeezy Foam RNR Onyx,adidas,80,2022-06-08,227,843,100,267,331,833,119,0.056543,67429,2.113,179,249,0.0
93,adidas Campus 80s South Park Towelie,adidas,100,2021-04-20,125,823,100,160,276,682,55,0.139886,10765,0.316,142,132,0.064852
94,Nike Air Max 1 Corduroy Baltic Blue,Nike,160,2023-03-17,106,383,100,162,280,420,90,0.065713,422,-0.313,152,110,-0.017857
95,New Balance 2002R Protection Pack Rain Cloud,New Balance,150,2021-08-20,202,259,98,505,609,999,148,0.512381,9643,0.241,289,187,-0.291688
96,Nike Dunk Low LX Black Suede Team Gold (Women's),Nike,120,2023-03-09,120,605,98,139,165,274,99,0.082936,839,0.043,141,126,0.060362
97,New Balance 550 White Black,New Balance,110,2021-12-01,95,478,96,120,155,351,80,0.120454,10288,-0.127,155,96,-0.179487
98,Jordan 1 Retro AJKO Low SP Union Sail Leather,Jordan,150,2023-02-02,166,841,96,320,575,999,130,0.144381,3354,0.067,204,160,-0.120879
99,Jordan 12 Retro SP A Ma Maniére White (Women's),Jordan,225,2023-03-02,149,1313,96,400,464,959,134,0.171075,1137,0.148,259,259,0.614083
100,Nike Dunk Low USC,Nike,100,2022-10-19,127,1070,95,180,237,379,115,0.17369,19838,0.68,161,168,-0.363636
101,Nike Dunk Low Mineral Slate Armory Navy,Nike,120,2022-12-13,113,567,95,133,242,253,89,0.150821,6254,0.083,136,130,-0.302862
102,Jordan 4 Retro SE Black Canvas,Jordan,210,2022-10-05,316,1407,94,355,571,618,224,0.066042,22481,0.875,324,394,0.22464
103,Nike Air Max 2017 Triple Black,Nike,190,2017-01-01,100,310,94,145,82,250,74,0.124813,3427,-0.18,127,156,0.512801
104,Nike Dunk Low Retro Pure Platinum Blue Lightning,Nike,110,2023-02-01,108,197,94,226,239,399,95,0.110568,1577,0.045,133,115,-0.198381
105,Jordan 3 Retro Fire Red (2022),Jordan,210,2022-09-10,205,1442,92,255,478,512,0,0.073396,26878,0.095,232,230,-0.212329
106,Nike Dunk Low Setsubun (2022),Nike,110,2022-06-01,157,633,91,190,421,725,125,0.0,2393,0.373,212,151,-0.090361
107,Nike SB Dunk Low Pro Fly Streetwear Gardenia,Nike,120,2023-03-25,225,318,90,333,427,490,160,0.192086,290,0.992,299,239,-0.028455
108,Jordan 5 Retro DJ Khaled We The Best Crimson Bliss,Jordan,225,2022-11-28,149,1224,90,280,435,2250,106,0.114768,9813,-0.147,236,192,-0.049505
109,Nike SB Dunk Low Sandy Bodecker,Nike,130,2022-12-17,134,1201,90,250,543,1025,100,0.081968,8981,0.538,220,200,0.16505
110,NikeCraft General Purpose Shoe Tom Sachs Field Brown,Nike,110,2023-02-07,78,1656,89,115,460,491,59,0.116907,5043,0.036,137,114,0.266667
111,adidas Yeezy Boost 350 V2 Zebra,adidas,220,2017-02-25,295,1341,87,325,493,540,205,0.043609,36390,0.536,294,338,0.04
112,Nike Air Force 1 Low '07 White (Women's),Nike,110,2018-01-01,76,648,87,82,121,176,54,0.120459,12480,-0.113,98,98,0.122001
113,Nike Air Max 97 Triple White Wolf Grey,Nike,160,2017-08-01,100,525,86,120,203,254,50,0.133404,9198,-0.188,136,130,-0.051095
114,adidas Yeezy Boost 350 V2 Beluga Reflective,adidas,240,2021-12-18,261,2272,85,311,487,454,177,0.088463,24743,0.167,292,280,0.021989
115,Nike Dunk Low Retro White Black Panda (2021) (TD),Nike,50,2021-03-10,69,529,85,85,126,130,40,0.027492,14153,0.48,68,74,0.057143
116,adidas Yeezy Boost 350 V2 Slate,adidas,230,2022-09-03,231,1044,83,288,423,495,150,0.195351,18852,0.152,259,265,-0.153355
117,Nike Dunk Low Peach Cream (Women's),Nike,100,2022-09-17,115,887,83,130,221,332,96,0.082448,9794,0.445,132,145,0.264151
118,Jordan 11 Retro Cherry (2022) (GS),Jordan,185,2022-12-10,145,931,82,215,160,327,120,0.105606,17422,-0.157,202,156,-0.113636
119,Jordan 1 Mid True Blue,Jordan,125,2022-12-02,106,1110,82,150,159,277,100,0.078704,2385,0.234,142,155,0.0
120,adidas Yeezy Slide Glow Green (2022) (Restock),adidas,60,2022-05-31,87,990,80,161,260,408,50,0.11078,29958,1.033,104,122,0.22
121,Nike Dunk Low SE Lottery Pack Grey Fog,Nike,120,2022-08-31,175,595,80,250,317,380,127,0.110318,15582,1.242,202,269,0.461957
122,Jordan 1 Low SE Concord (GS),Jordan,95,2023-01-17,97,367,80,118,221,185,80,0.137156,2178,0.105,116,105,-0.047264
123,Jordan 1 Mid White Black Red (2022),Jordan,120,2022-06-01,102,836,79,175,265,204,50,0.140001,14304,-0.05,122,114,0.017857
124,Nike Dunk Low Essential Paisley Pack Pink (Women's),Nike,110,2023-02-07,125,850,79,135,193,359,109,0.085476,3952,0.173,154,129,-0.218336
125,New Balance 550 Sea Salt Pine Green,New Balance,120,2023-02-05,93,289,79,112,109,348,83,0.170289,750,0.042,129,125,0.01626
126,Jordan 4 Retro SE Craft Photon Dust (GS),Jordan,150,2023-02-11,134,1197,78,170,229,299,117,0.084796,2489,0.402,191,211,0.267082
127,Jordan 2 Retro Lucky Green,Jordan,175,2023-02-03,141,408,78,160,225,414,105,0.073108,2155,-0.114,165,155,0.183206
128,Nike Dunk Low SE Lottery Pack Malachite Green,Nike,120,2022-08-31,170,707,77,255,415,383,124,0.09493,14432,0.663,183,200,-0.06315
129,Nike SB Dunk Low Concepts Orange Lobster,Nike,120,2022-12-20,272,1042,77,695,762,1763,238,0.220112,7418,3.525,506,543,0.670769
130,Jordan 1 Retro AJKO Low SP Union White Canvas,Jordan,150,2023-02-02,111,1543,77,155,440,579,90,0.126051,2863,0.168,178,176,0.412593
131,New Balance 550 Aime Leon Dore Brown,New Balance,130,2022-06-21,144,621,77,180,209,750,120,0.13028,1887,0.077,281,140,-0.034483
132,Jordan 1 Retro High OG Starfish (Women's),Jordan,180,2022-10-27,121,785,75,186,303,560,108,0.088591,14955,-0.006,180,179,0.0
133,Jordan 1 Retro High OG Reverse Laney (Women's),Jordan,180,2023-02-17,118,1665,75,249,367,505,95,0.185056,1702,-0.044,179,172,0.409836
134,Air Max 95 Anatomy of Air GID,Nike,180,2022-06-23,87,430,75,105,187,252,65,0.125163,1298,-0.266,131,133,0.078947
135,Jordan 1 Low Aluminum (Women's),Jordan,100,2022-11-10,147,643,74,170,320,279,98,0.102892,8997,0.898,154,190,0.224783
136,Jordan 1 Mid Light Smoke Grey,Jordan,115,2020-06-09,179,409,73,325,442,600,117,0.09233,22092,1.007,186,231,0.112108
137,Nike Court Legacy Lift White Black (Women's),Nike,80,2022-07-02,73,382,73,76,33,168,50,0.088411,14818,0.113,89,90,0.08589
138,Jordan 13 Retro Black University Blue,Jordan,200,2022-12-23,146,422,73,190,260,538,121,0.070196,3797,-0.21,176,158,0.039474
139,Nike Dunk Low Photon Dust (Women's),Nike,100,2021-05-19,164,304,73,240,135,463,144,0.094881,999,0.81,319,181,-0.176683
140,Jordan 12 Retro SP A Ma Maniére Black (Women's),Jordan,225,2023-02-24,102,1582,72,335,532,500,53,0.171158,1341,0.059,239,239,-0.086777
141,adidas Yeezy Slide Pure (Restock Pair),adidas,60,2021-12-13,170,724,71,225,258,310,36,0.123085,63179,1.92,159,176,-0.031961
142,Jordan 4 Retro Red Thunder,Jordan,190,2022-01-15,367,1065,71,400,445,828,195,0.085827,19250,1.288,355,435,-0.035885
143,Jordan 4 Retro Canyon Purple (Women's),Jordan,200,2022-10-15,159,1188,71,330,453,511,124,0.333513,15628,0.0,237,200,0.049904
144,adidas Forum Buckle Low Bad Bunny Last Forum,adidas,160,2022-12-10,169,1598,71,226,531,530,148,0.116946,9392,0.503,247,241,0.358969
145,Jordan 4 Retro Midnight Navy (GS),Jordan,160,2022-10-29,175,723,71,218,227,357,138,0.168946,8877,0.494,236,239,0.118778
146,Nike Air Max 1 Crepe Brown (2022),Nike,180,2022-09-15,105,562,71,133,379,477,40,0.196928,4565,-0.261,169,133,-0.007463
147,Nike Dunk Low Stencil Swoosh,Nike,110,2022-12-21,118,515,71,131,107,211,102,0.066964,1774,0.064,144,117,-0.133795
148,Nike Air Max 95 SP Corteiz Gutta Green,Nike,190,2023-03-10,226,642,71,375,326,605,215,0.133525,225,0.745,357,332,0.036268
149,Nike Dunk Low Safari Mix (Women's),Nike,120,2022-05-05,120,576,70,201,283,492,72,0.246034,23763,0.276,141,154,-0.109492
150,Nike Dunk Low SP Kentucky (2020/2022),Nike,100,2020-03-14,194,834,70,267,379,1190,134,0.123633,10192,0.87,230,187,-0.292384
151,Nike Air VaporMax Plus Triple Black,Nike,190,2018-01-25,150,367,70,450,150,400,88,0.086276,8228,-0.184,177,155,0.017775
152,adidas Campus Light Bad Bunny Cream,adidas,160,2023-02-25,163,1543,70,230,620,633,152,0.181755,1810,0.031,234,165,-0.286523
153,adidas Yeezy Boost 350 V2 Black Red (2017/2020),adidas,220,2017-02-11,270,1389,69,500,398,805,215,0.15,13182,0.485,374,327,0.081727
154,Nike Air Force 1 Low Drake NOCTA Certified Lover Boy,Nike,160,2022-12-08,165,781,68,195,489,600,131,0.057581,9370,0.355,206,217,-0.024583
155,Nike Air Max Penny 1 Orlando (2022),Nike,170,2022-08-11,137,221,67,350,175,700,100,0.052987,3165,0.229,295,209,-0.114407
156,Nike Zoom Vomero 5 Doernbecher,Nike,180,2023-02-25,265,100,67,400,515,577,170,0.153211,465,1.111,272,380,-0.103774
157,Jordan 1 High OG Denim (Women's),Jordan,170,2022-09-23,153,530,66,261,423,447,100,0.176584,14649,0.865,199,317,-0.017098
158,adidas Yeezy Boost 350 V2 Core Black Red (2016/2022),adidas,220,2016-11-23,281,1229,66,330,344,2021,201,0.074616,13022,0.636,305,360,0.028571
159,Nike LeBron 20 All-Star,Nike,210,2023-02-16,135,441,66,222,242,600,120,0.226868,1471,-0.129,220,183,-0.347832
160,NikeCraft General Purpose Shoe Tom Sachs Archive Dark Sulfur,Nike,110,2022-09-02,110,772,65,301,565,1349,75,0.214831,18572,0.291,180,142,-0.342593
161,Jordan 1 Retro High OG Atmosphere (Women's),Jordan,170,2021-12-22,178,1380,65,225,362,325,148,0.087932,11465,0.318,222,224,-0.025813
162,Jordan 1 Retro High OG Heritage,Jordan,170,2022-05-25,114,1789,64,146,473,644,61,0.120031,20254,-0.259,172,126,-0.058895
163,New Balance 2002R Protection Pack Pink,New Balance,150,2022-09-01,192,315,64,245,183,512,150,0.140074,2784,0.287,227,193,0.005208
164,Jordan 1 Low New Emerald (GS),Jordan,95,2022-07-14,109,201,64,105,59,196,68,0.102844,1222,0.147,110,109,-0.060345
165,adidas Samba Vegan Black Gum,adidas,90,2021-06-16,76,383,63,118,129,372,25,0.202996,3648,0.745,127,158,1.122542
166,Jordan 1 Low Black White Grey,Jordan,90,2021-11-12,141,438,62,183,168,425,125,0.091032,3901,0.733,211,156,0.006452
167,Nike React Phantom Run Flyknit 2 White Black,Nike,140,2020-05-07,85,312,62,91,85,302,51,0.043448,1994,-0.153,147,119,0.005681
168,Jordan 1 Mid Alternate Bred (2022),Jordan,125,2022-12-14,89,740,59,91,187,248,64,0.052694,736,-0.288,108,89,-0.063158
169,New Balance 2002R Protection Pack Black Grey,New Balance,170,,149,364,59,170,132,429,138,0.117944,527,-0.176,194,140,-0.320458
170,Nike Air Max 1 Premium Shima Shima (2023),Nike,160,2023-03-10,100,765,59,160,361,348,96,0.137433,390,-0.173,151,133,-0.041547
171,Jordan 1 Mid Ice Blue (2022) (GS),Jordan,110,2022-10-22,102,738,58,104,175,172,75,0.099501,8380,0.065,117,118,0.148401
172,Nike SB Dunk Low Pro QS Neckface,Nike,120,2022-10-27,134,604,58,236,302,1569,100,0.166463,8291,1.06,199,248,-0.049383
173,Nike Air Max 97 OG Golden Bullet (2023),Nike,185,2023-03-07,94,653,58,150,257,324,89,0.0772,1012,-0.351,126,120,0.153846
174,Nike Dunk Low Team Gold,Nike,110,,118,284,58,131,96,212,105,0.067492,78,-0.018,132,108,-0.162791
175,Jordan 4 Retro Infrared,Jordan,200,2022-06-15,275,1084,57,315,403,2043,0,0.09321,28551,0.691,261,339,0.19921
176,Nike Dunk Low UCLA,Nike,100,2022-10-25,134,1175,57,190,239,427,95,0.070527,17189,0.322,147,133,-0.02091
177,adidas Yeezy Foam RNNR Sand,adidas,80,2021-03-26,223,597,57,254,318,551,108,0.073138,16031,2.075,195,246,0.171429
178,UGG Tazz Slipper Chestnut (Women's),UGG,120,2021-11-01,130,292,57,140,59,376,100,0.121773,14971,0.392,180,168,0.176275
179,Nike Zoom LeBron NXXT Gen I Promise,Nike,160,2023-02-10,135,327,57,200,187,375,119,0.09552,1097,0.267,177,203,-0.015707
180,Jordan 1 Mid Barely Grape (GS),Jordan,110,2022-12-22,94,779,57,100,106,169,82,0.101136,976,0.108,115,122,0.283019
181,Jordan 1 Retro High OG Dark Marina Blue,Jordan,170,2022-02-16,133,1935,56,180,401,280,89,0.097681,19493,0.0,176,170,0.205674
182,Jordan 1 Retro High Dark Mocha,Jordan,170,2020-10-31,429,1020,56,500,550,1111,265,0.142113,9133,1.524,499,429,-0.025
183,Jordan 1 Retro High OG Chicago Lost and Found (GS),Jordan,140,2022-11-19,171,799,56,218,292,501,160,0.068537,8488,0.507,232,211,-0.058036
184,Nike Dunk Low Coconut Milk,Nike,100,2022-03-01,120,534,55,187,221,439,95,0.192104,30288,0.44,170,144,-0.297561
185,Jordan 1 Low Shadow Toe,Jordan,100,2022-03-01,169,686,55,175,375,378,95,0.056985,29341,0.898,154,190,-0.032967
186,Jordan 4 Retro Military Black (GS),Jordan,160,2022-05-21,200,462,55,335,189,646,140,0.219584,20772,1.125,263,340,-0.031339
187,UGG Tasman Slipper Chestnut (Women's),UGG,100,2021-11-01,104,232,55,103,30,243,36,0.101252,15114,0.29,140,129,-0.122937
188,Jordan 1 Retro Low OG Zion Williamson Voodoo,Jordan,170,2022-11-08,272,473,55,499,687,687,159,0.172386,11358,1.394,265,407,0.304487
189,Jordan 1 Retro High OG Heirloom,Jordan,170,2022-09-17,120,623,55,153,321,505,91,0.145679,7244,-0.221,146,133,0.122792
190,New Balance 990v5 Grey,New Balance,175,2019-02-13,128,284,55,185,208,352,50,0.343117,7158,-0.251,155,131,-0.022388
